text,label
"The Knesset is holding a second screening of raw footage from Hamas’s October 7 rampage across southern Israel, confirms a spokesperson for Knesset Speaker Amir Ohana",1
Opposition Leader Yair Lapid denounces Turkish President Recep Tayyip Erdogan after the latter said that Israel is a “terrorist state,0
"Turkish President Recep Tayyip Erdogan increases his criticism of Israel, calling it a “terrorist state” and claiming it is intent on destroying Gaza along with all of its residents",0
A senior military official says that the Israel Defense Forces has “concrete evidence” that Hamas uses al-Shifa Hospital as a military facility,1
"War cabinet minister Benny Gantz says Israel will hunt down Hamas leaders “in Gaza and around the world ”
“There will be no sanctuary cities, no sanctuary houses",1
"Citing inflammatory statements, the Knesset’s Ethics Committee sanctions two Arab lawmakers, banning them from Knesset hearings and votes for specified periods, and docking their pay",1
The Israel Defense Forces publishes a video showing soldiers bringing humanitarian aid to Shifa Hospital,1
"The Red Cross voices alarm over military activities at the Gaza Strip’s largest hospital, which has been entered by Israeli forces and which Israel says holds a Hamas command center — an assertion backed by the United States",1
"Sperm from 39 men killed since the start of the war has been extracted from their bodies to be used by their families for future fertilization, reported the Knesset’s Health Committee on Wednesday",1
"Requests for gun permits have skyrocketed since Hamas’s devastating massacre, the National Security Ministry says",0
"A recent poll finds that less than 4 percent of the Jewish Israeli public believe Prime Minister Benjamin Netanyahu is a reliable source of information on the ongoing war between Israel and the Hamas terror group 
The figure rose slightly to 6",0
"Family members of the hostages being held by terrorists in Gaza are setting out from Be’er Yaakov on the second day of their march from Tel Aviv to Jerusalem 
The group has asked the public to join them",0
"Troops have found weapons and Hamas assets inside Shifa Hospital, which indicates the presence of the terror group",1
"The Israel Defense Forces says troops of the Nahal Infantry Brigade and 261st Brigade (the Bahad 1 officers’ school in wartime) raided a Hamas training base yesterday, locating a tunnel shaft and dozens of weapons",1
"The Israeli military’s “precise and targeted” operation inside Gaza City’s Shifa Hospital continues as of this morning, the IDF says",1
"An unnamed security official says that the Israeli operation at Al-Shifa Hospital will be widened if necessary, and implied that the military knows exactly what it is going to find there",1
"BELMOPAN, Belize — Belize has suspended diplomatic relations with Israel, becoming the second Latin American nation to sever ties in the wake of its military offensive in Gaza, the government says",0
"SAN FRANCISCO — Hospitals and the patients inside them “must be protected,” the White House says when asked about an operation by its ally Israel, which has sent troops into Gaza’s largest hospital, Al-Shifa",0
"An IDF spokesman says the military “is not overrunning” Gaza City’s Al-Shifa hospital, asserting Israeli troops are conducting a “precise and targeted operation against a specific location    in order to defeat Hamas and perhaps rescue hostages",1
"Prime Minister Benjamin Netanyahu held a lengthy phone conversation on Tuesday with US President Joe Biden to discuss efforts to release the roughly 240 hostages in Gaza, the White House says",1
The Palestinian terror group Hamas accuses US President Joe Biden of being “wholly responsible” for an Israeli army operation at Gaza’s largest hospital,0
"Prime Minister Benjamin Netanyahu comes out against Canadian Prime Minister Justin Trudeau for saying Israel must stop “this killing of women, of children, of babies” in Gaza",0
An English language statement from the military describes the operation in Gaza City’s Al-Shifa Hospital as “precise and targeted,1
Israeli defense officials say they have agreed to allow fuel shipments into the Gaza Strip for humanitarian operations,0
"The military says Israeli troops are fighting against Hamas “in a certain part” of Gaza City’s Al-Shifa Hospital, where the terror group is accused of maintaining a command center",1
UNITED NATIONS – The UN Security Council is negotiating a new resolution that demands “immediate extended humanitarian pauses” throughout the Gaza Strip but makes no mention of a cease-fire,0
Hamas says the White House’s remarks that the Islamist terror group has a command center at Al-Shifa Hospital in Gaza was a “green light” to Israel to commit “brutal massacres” targeting medical facilities in the Palestinian territory,0
"For the first time during the against Hamas, Israel will reportedly allow UNRWA’s trucks in Gaza to refuel tomorrow at Egypt’s Rafah crossing",0
"Addressing the pro-Israel rally on Washington’s National Mall, Conference of Presidents of Major American Jewish Organizations CEO William Daroff says over 290,000 people are in attendance, making it the largest pro-Israel gathering in history",1
"Addressing the pro-Israel rally in Washington, Dillard University president Dr  Rochelle Ford proposes that Christians be the support that the Jewish people need, while at the same time despairing over the deaths of the many innocent people",1
"Christians United For Israel’s Pastor John Hagee spurs the pro-Israel crowd in DC to chant “Jerusalem, Israel, you are not alone ”
He affirms the need for Israel to decide the contours of the war and to not cave in to international pressure",1
"A clip from a recent Al Jazeera broadcast has gone viral, showing the Qatari network’s correspondent interviewing a patient at a Gaza hospital who complains in front of the camera that Hamas fighters are hiding among the sick in the medical center",1
IDF Spokesman Rear Adm  Daniel Hagari says hospitals in the Gaza Strip risk losing their status as protected under international law due to Hamas’s use of their premises for military activities,1
"Alana Zeitchik, whose six cousins are being held hostage in Gaza, tells the pro-Israel rally in Washington, “I am here with you because I love my family, “and I promised I would scream to the ends of the earth for them",1
"Senate Majority Leader Chuck Schumer tells the pro-Israel rally in Washington that, “When Hamas says from the river to the sea, they mean all the present-day Israel should be a Jewish-free land",1
The Biden administration confirms long-held Israeli assertions that Hamas is using hospitals for its military purposes,1
The Biden administration’s antisemitism envoy Deborah Lipstadt addresses the pro-Israel rally in Washington,1
"The war cabinet will receive an update later tonight regarding the negotiations to secure the release of the hostages, Hebrew media reports",0
"President Isaac Herzog virtually addresses the pro-Israel rally in Washington from the Western Wall in Jerusalem 
“Today we come together, as a family, one big mishpacha, to march for Israel",1
"A surface-to-surface missile, believed to have been launched from Yemen at Israel’s southernmost city of Eilat, was intercepted over the Red Sea",0
"Defense Minister Yoav Gallant says the IDF has broken through Hamas defenses around Gaza City, from the north and south 
He says the army is controlling the above-ground area of northern Gaza, especially in Gaza City",1
Troops of the IDF’s Golani Brigade’s 13th Battalion operating in the Gaza Strip found equipment taken by Hamas terrorists from their comrades during the October 7 onslaught,1
"The pro-Israel rally in Washington has kicked off, and organizers from the Jewish Federations of North America estimate that some 200,000 people are in attendance",1
WASHINGTON — Demonstrators from across the US are now gathering on the National Mall in a show of solidarity with Israel amid its ongoing war with Hamas,1
"Incoming rocket sirens are sounding in Israel’s southernmost city of Eilat for the second time today 
The IDF says the cause of the alarms is under investigation",0
Jewish American progressive groups are fuming over a decision by organizers of today’s pro-Israel rally in Washington to book a controversial evangelical pastor as a speaker,0
"Palestinian Islamic Jihad chief Ziad Nakhaleh threatens to bolt the ongoing hostage negotiations and wait for “better conditions” before moving forward 
The terror group is believed to be holding as many as 40 hostages from the total of 240",0
The National Mall in Washington is already packed with thousands of people ahead of the pro-Israel rally slated to kick off in less than an hour,1
The Israel Defense Forces says it struck a Hezbollah observation post in southern Lebanon in response to attacks on the northern border today,1
One-hundred and sixteen former Biden and Obama administration officials have signed onto a letter hailing US President Joe Biden’s support for Israel since the October 7 Hamas onslaught,1
"Asked what his message is to the families of the roughly 240 hostages in Gaza, US President Joe Biden tells reporters, “Hang in there, we’re coming ”
“I’ve been talking to the people involved every single day",1
"The Israel Defense Forces says its 162nd Division — which entered Gaza from the north — has completed the capture of the al-Shati camp, and will soon link up with the 36th Division which entered the Strip from the east, reaching the coast",1
"War cabinet minister Benny Gantz says that even if Israel pauses fighting as part of a potential hostage deal, it will continue pursuing its war to dislodge Hamas’s control over the Gaza Strip",1
"Foreign Minister Eli Cohen calls on UN Secretary-General Antonio Guterres to resign, during a visit to the UN offices in Geneva as well as meetings with the International Committee of the Red Cross and the World Health Organization",0
"Three people are wounded, one of them seriously, by shrapnel in Tel Aviv following a rocket attack from the Gaza Strip, medics say",0
The Health Ministry has decided to recognize Ziv Medical Center in Safed and Barzilai Medical Center in Ashkelon as Level 1 trauma centers,0
The Israel Defense Forces releases additional footage showing the moment the Navy’s elite Shayetet 13 commando unit and the 401st Armored Brigade raided Gaza City’s Rantisi children’s hospital,1
The United States announces a third round of sanctions targeting Hamas-affiliated individuals and entities in connection with the October 7 massacre in Israel,1
"Hundreds of protesters led by far-left Jewish activists calling for a ceasefire in Gaza stage a sit-in inside of the federal building in Oakland, California, leading to multiple arrests",0
"Foreign Minister Eli Cohen is meeting with president of the International Committee of the Red Cross Mirjana Spoljaric Egger in Geneva, Switzerland, to discuss the plight of Israelis and foreign nationals held hostage by Hamas in Gaza",1
"Chancellor Olaf Scholz says Recep Tayyip Erdogan’s accusation of fascism against Israel is “absurd,” days before the German leader is due to host the Turkish president for talks in Berlin",1
"The Israel Defense Forces says its fighter jets struck a number of sites belonging to the Hezbollah terror group in southern Lebanon, in response to attacks on the border today",1
"The Israel Defense Forces says rocket sirens sounded in Israel’s southernmost city of Eilat a short while ago due to an air defense missile being fired at an “aerial target ”
The IDF says there was no actual infiltration into Israeli airspace",0
Rocket alerts sound again in the Sha’ar Hanegev and Sdot Negev areas near the Gaza border,1
The Israel Defense Forces announces that troops of the 7th Armored Brigade and Golani Infantry Brigade have captured several Hamas governmental buildings in the Gaza City neighborhoods of Sheikh Ijlin and Rimal,1
"The Red Cross head will today meet family members of several of the 240 people seized in Hamas’s attack in Israel last month and held hostage in Gaza, the organization says",0
"Rockets launched from the Gaza Strip have caused injuries and damage in the southern coastal city of Ashkelon, the municipality and medics say 
Images show cars and buildings damaged by a rocket impact",0
The military announces it is coordinating the delivery of incubators to hospitals in the Gaza Strip,0
