text,label
in a meeting which lasted less than an hour palestinian president abbas told blinken that there must be an immediate ceasefire and humanitarian aid should be allowed to enter the gaza strip abbas s spokesperson nabil abu rudeineh told reuters,0
the israel defense forces says it struck a hezbollah observation post in southern lebanon in response to attacks on the northern border today,1
the palestinian authority says three people were killed in israel defense forces raids on the west bank,1
israeli occupation forces this morning shot and killed a year old boy during an assault on the ancient city of jericho east of the west bank according to the ministry of health,0
in a brief post on social media the israeli army says it also struck a terrorist squad that attempted to fire rockets at israel and a squad that fired at israeli forces,1
the united nations human rights office expressed concern that israeli airstrikes on the jabalya refugee camp in gaza could amount to war crimes,0
about palestinian women and children imprisoned in israel are expected to be released as part of the gaza truce deal,0
the hezbollah terror group says two members were killed in israeli strikes on its positions in southern lebanon earlier today,1
a joint statement by the un agency for palestinian refugees and the world health organization who says a convoy with much needed medical supplies has been delivered to gaza s main hospital al shifa,0
we reported earlier on the israeli attacks near the kamal adwan hospital the latest images obtained by al jazeera show bodies lying across the courtyard of the facility in northern gaza,0
after october the surprise attack by hamas on israel the world has witnessed brutality viciousness barbarism apathy and savagery carried out by a savage occupation gaza was subjected to inhuman collective punishment,0
the us has held active conversations with israel about a humanitarian pause to allow for the release of hostages in gaza the white house said we ve been having active conversations with them about that kirby said,1
israeli forces tuesday detained palestinians from several areas in the occupied west bank sources confirmed in hebron the occupation soldiers detained palestinians while in ramallah soldiers detained,0
an amendment to add a condemnation of hamas to a jordanian un general assembly resolution calling for an immediate ceasefire in gaza has been voted down,0
palestinian mostly children civilians were killed in an israeli airstrike that targeted a house in the city of khan younis south of the gaza strip,0
israeli colonists tonight attacked palestinians and their vehicles on the ramallah nablus road north of ramallah according to security sources,1
the israel defense forces says two soldiers were wounded by an anti tank missile fired from lebanon at troops in the area of the northern community of dovev,0
the palestinian health ministry in gaza is reporting that people have been killed by israeli air strikes on the besieged strip since october the figure includes children,0
the israel defense forces says fighter jets struck some hamas targets in the gaza strip over the past day the targets included hamas command centers observation posts and anti tank guided missile launch positions according to the idf,1
prime minister benjamin netanyahu holds a situational assessment by phone with top aides and government ministers,1
the israel fire and rescue services says sergeant major firefighter arik yehuda marciano a squad commander at the kiryat gat station was killed during the hamas attack on the gaza border yesterday,0
the israel defense forces says dozens of fighter jets are carrying out a wave of intense airstrikes in the gaza strip,1
qatar is mediating between israel and hamas for the potential release of captives in exchange for a short ceasefire afp reports,0
prime minister benjamin netanyahu is holding another phone call with us president joe biden the first since biden made a wartime visit to israel on wednesday and gave an oval office address about plans to expand us aid to israel and ukraine,1
a suspected drone infiltration alert is sounding in the southern city of sderot and nearby towns close to the border with the gaza strip the siren comes amid repeated rocket attacks from the strip on israel,0
world leaders have begun their meeting in paris to discuss the humanitarian crisis in palestine this will include bringing in much needed supplies like food water medical aid and fuel it will also include getting the injured out of gaza,0
washington demonstrators from across the us are now gathering on the national mall in a show of solidarity with israel amid its ongoing war with hamas,1
talks are underway for the release of a dozen hostages held by hamas including six americans in return for a three day ceasefire in the gaza strip a source close to hamas claims,0
hundreds of pro palestinian protesters gather at the sydney opera house and police are advising the jewish community to stay away,0
five people were killed including a child and others were injured in an israeli bombing that targeted a house west of khan yunis in the south of the gaza strip according to wafa correspondent,0
the magen david adom ambulance service says two people are lightly hurt by the rocket impact in rishon letzion,1
the pentagon confirms that the us is conducting unarmed drone flights over gaza to aid efforts to locate the roughly hostages held by terrorists in gaza,1
dozens of people were killed today and many others were injured as a result of the israeli airstrikes on residential neighborhoods in gaza city,0
colonial israeli settlers pelted palestinian vehicles with stones today in the town of tuqu in the southern west bank province of bethlehem according to local sources no injuries were reported,0
an israeli reserve soldier was killed yesterday in an anti tank missile attack along the border with lebanon according to the israel defense forces the soldier is named as staff sgt omer balva from herzliya,1
israeli occupation forces wednesday detained the principle and teachers of shaab al batm mixed basic school at the entrance to the village of al tuwanah in masafer yatta south of the occupied west bank city of hebron,0
a video obtained by al jazeera arabic and posted on x showed israeli forces storming the balata refugee camp east of nablus in the occupied west bank,0
sirens warning of incoming rocket attacks sound again in southern israel they are heard in sderot kibbutz nir am yad mordechai and netiv ha asara all near the gaza strip,0
